"Date","Scheduled_Start","Scheduled_End","Actual_Start","Actual_End","Machine_ID","Job_ID","Operation_Type","Material_Used","Processing_Time","Energy_Consumption","Machine_Availability","Job_Status","Optimization_Category"
"18/03/2023","15:10:00","16:59:00","15:05:00","16:54:00","M02","J044","Lathe","1.82","109","5.67","93","Completed","Low Efficiency"
"18/03/2023","15:20:00","16:38:00","15:25:00","16:43:00","M02","J045","Milling","3.52","78","3.03","91","Completed","High Efficiency"
"18/03/2023","15:30:00","16:00:00","15:54:00","16:24:00","M03","J046","Milling","4.52","30","7.15","85","Delayed","Low Efficiency"
"18/03/2023","15:40:00","16:05:00","15:44:00","16:09:00","M02","J047","Drilling","1.9","25","10.09","85","Completed","Moderate Efficiency"
"18/03/2023","15:50:00","17:05:00","15:47:00","17:02:00","M02","J048","Lathe","3.67","75","4.12","99","Completed","Low Efficiency"
"18/03/2023","16:00:00","16:33:00","16:04:00","16:37:00","M02","J049","Lathe","4.43","33","7.55","80","Completed","Moderate Efficiency"
"18/03/2023","16:10:00","17:54:00","16:29:00","18:13:00","M01","J050","Lathe","1.42","104","3.09","87","Delayed","Low Efficiency"
"18/03/2023","16:20:00","16:44:00","16:20:00","16:44:00","M04","J051","Lathe","4.25","24","7.26","90","Failed","Low Efficiency"
"18/03/2023","16:30:00","16:53:00","16:27:00","16:50:00","M05","J052","Grinding","3.91","23","9.2","82","Completed","Low Efficiency"
"18/03/2023","16:40:00","18:17:00","16:37:00","18:14:00","M02","J053","Lathe","1.85","97","4.77","98","Completed","Low Efficiency"
"18/03/2023","16:50:00","17:54:00","17:10:00","18:14:00","M05","J054","Drilling","2.79","64","6.66","82","Delayed","Low Efficiency"
"18/03/2023","17:00:00","18:56:00","16:55:00","18:51:00","M05","J055","Drilling","4.61","116","13.1","99","Completed","Low Efficiency"
"18/03/2023","17:10:00","18:54:00","17:07:00","18:51:00","M01","J056","Drilling","4.2","104","11.91","80","Completed","Low Efficiency"
"18/03/2023","17:20:00","17:51:00","17:19:00","17:50:00","M02","J057","Additive","1.04","31","6.53","86","Completed","Low Efficiency"
"18/03/2023","17:30:00","18:53:00","17:31:00","18:54:00","M01","J058","Grinding","1.03","83","8.42","81","Completed","High Efficiency"
"18/03/2023","17:40:00","18:42:00","17:51:00","18:53:00","M05","J059","Additive","3.62","62","6.06","88","Delayed","Low Efficiency"
"18/03/2023","17:50:00","18:56:00","17:52:00","18:58:00","M01","J060","Milling","3.29","66","8.69","80","Completed","Moderate Efficiency"
"18/03/2023","18:00:00","19:50:00","18:00:00","19:50:00","M02","J061","Lathe","3.03","110","6.98","82","Failed","Low Efficiency"
"18/03/2023","18:10:00","19:48:00","18:39:00","20:17:00","M02","J062","Lathe","2.47","98","9.93","82","Delayed","Low Efficiency"
"18/03/2023","18:20:00","19:07:00","18:20:00","19:07:00","M02","J063","Lathe","3.2","47","8.4","86","Failed","Low Efficiency"
"18/03/2023","18:30:00","19:41:00","18:30:00","19:41:00","M02","J064","Lathe","4.81","71","7.42","83","Completed","High Efficiency"
"18/03/2023","18:40:00","19:03:00","18:40:00","19:03:00","M03","J065","Grinding","2.71","23","6.8","90","Failed","Low Efficiency"
"18/03/2023","18:50:00","19:42:00","19:03:00","19:55:00","M03","J066","Drilling","3.47","52","2.09","97","Delayed","Low Efficiency"
"18/03/2023","19:00:00","19:23:00","19:12:00","19:35:00","M02","J067","Lathe","3.28","23","3.79","84","Delayed","Low Efficiency"
"18/03/2023","19:10:00","21:06:00","19:09:00","21:05:00","M02","J068","Lathe","3.48","116","9.64","82","Completed","Low Efficiency"
"18/03/2023","19:20:00","19:49:00","19:21:00","19:50:00","M04","J069","Additive","2.61","29","9.58","80","Completed","Moderate Efficiency"
"18/03/2023","19:30:00","20:24:00","19:30:00","20:24:00","M04","J070","Drilling","3.37","54","2.46","82","Failed","Low Efficiency"
"18/03/2023","19:40:00","20:05:00","19:38:00","20:03:00","M04","J071","Milling","2.62","25","7.29","95","Completed","Low Efficiency"
"18/03/2023","19:50:00","20:58:00","19:51:00","20:59:00","M05","J072","Grinding","3.52","68","6.05","99","Completed","High Efficiency"
"18/03/2023","20:00:00","21:52:00","20:02:00","21:54:00","M04","J073","Drilling","4.17","112","11.57","89","Completed","Moderate Efficiency"
"18/03/2023","20:10:00","21:15:00","20:13:00","21:18:00","M04","J074","Milling","3.72","65","12.97","86","Completed","Moderate Efficiency"
"18/03/2023","20:20:00","21:45:00","20:22:00","21:47:00","M05","J075","Additive","3.55","85","7.52","84","Completed","High Efficiency"
"18/03/2023","20:30:00","22:09:00","20:30:00","22:09:00","M01","J076","Milling","1.99","99","10.01","90","Failed","Low Efficiency"
"18/03/2023","20:40:00","21:42:00","20:40:00","21:42:00","M01","J077","Milling","3.46","62","7.46","84","Completed","High Efficiency"
"18/03/2023","20:50:00","22:37:00","21:02:00","22:49:00","M02","J078","Milling","2.08","107","2.2","89","Delayed","Low Efficiency"
"18/03/2023","21:00:00","22:24:00","21:21:00","22:45:00","M05","J079","Milling","4.55","84","7.43","97","Delayed","Low Efficiency"
"18/03/2023","21:10:00","22:32:00","21:08:00","22:30:00","M04","J080","Grinding","2.11","82","14.62","89","Completed","Low Efficiency"
"18/03/2023","21:20:00","22:29:00","21:17:00","22:26:00","M02","J081","Additive","4.01","69","11.72","88","Completed","Low Efficiency"
"18/03/2023","21:30:00","21:54:00","21:26:00","21:50:00","M01","J082","Drilling","1.73","24","13.39","98","Completed","Low Efficiency"
"18/03/2023","21:40:00","22:39:00","21:41:00","22:40:00","M03","J083","Drilling","4.15","59","12.15","85","Completed","Moderate Efficiency"
"18/03/2023","21:50:00","23:07:00","22:06:00","23:23:00","M05","J084","Drilling","1.19","77","11.36","95","Delayed","Low Efficiency"
"18/03/2023","22:00:00","22:44:00","22:00:00","22:44:00","M02","J085","Lathe","3.38","44","3.35","87","Completed","High Efficiency"
"18/03/2023","22:10:00","23:27:00","22:12:00","23:29:00","M05","J086","Drilling","2.77","77","14.07","93","Completed","Moderate Efficiency"
"18/03/2023","22:20:00","23:19:00","22:32:00","23:31:00","M03","J087","Lathe","2.33","59","14.83","98","Delayed","Low Efficiency"
"18/03/2023","22:30:00","23:30:00","22:26:00","23:26:00","M04","J088","Additive","1.36","60","9.56","94","Completed","Low Efficiency"
"18/03/2023","22:40:00","23:35:00","22:35:00","23:30:00","M04","J089","Grinding","4.66","55","14.16","81","Completed","Low Efficiency"
"18/03/2023","22:50:00","23:17:00","23:05:00","23:32:00","M02","J090","Lathe","2.38","27","12.34","99","Delayed","Low Efficiency"
"18/03/2023","23:00:00","00:00:00","22:59:00","23:59:00","M02","J091","Grinding","4.86","60","14.6","83","Completed","Low Efficiency"
"18/03/2023","23:10:00","00:40:00","23:10:00","00:40:00","M03","J092","Milling","4.85","90","8.14","96","Failed","Low Efficiency"
"18/03/2023","23:20:00","00:46:00","23:32:00","00:58:00","M03","J093","Lathe","1.63","86","9.92","98","Delayed","Low Efficiency"
"18/03/2023","23:30:00","00:21:00","23:48:00","00:39:00","M05","J094","Lathe","4.43","51","7.61","86","Delayed","Low Efficiency"
"18/03/2023","23:40:00","01:33:00","23:38:00","01:31:00","M03","J095","Lathe","3.43","113","9.22","89","Completed","Low Efficiency"
"18/03/2023","23:50:00","01:40:00","00:20:00","02:10:00","M05","J096","Milling","4.18","110","10.67","99","Delayed","Low Efficiency"
"19/03/2023","00:00:00","00:57:00","00:23:00","01:20:00","M04","J097","Drilling","3.88","57","3.8","87","Delayed","Low Efficiency"
"19/03/2023","00:10:00","01:41:00","00:11:00","01:42:00","M03","J098","Grinding","3.87","91","14.55","92","Completed","Moderate Efficiency"
"19/03/2023","00:20:00","00:53:00","00:20:00","00:53:00","M05","J099","Additive","1.79","33","3.17","80","Failed","Low Efficiency"
"19/03/2023","00:30:00","00:57:00","00:35:00","01:02:00","M02","J100","Grinding","2.71","27","12.24","96","Completed","Moderate Efficiency"
"19/03/2023","00:40:00","01:17:00","00:37:00","01:14:00","M05","J101","Additive","4.8","37","4.73","92","Completed","Low Efficiency"
"19/03/2023","00:50:00","02:40:00","00:49:00","02:39:00","M04","J102","Grinding","4.96","110","14.56","88","Completed","Low Efficiency"
"19/03/2023","01:00:00","02:45:00","01:14:00","02:59:00","M05","J103","Lathe","2.54","105","9.97","96","Delayed","Low Efficiency"
"19/03/2023","01:10:00","02:12:00","01:05:00","02:07:00","M05","J104","Milling","3.6","62","8.45","87","Completed","Low Efficiency"
"19/03/2023","01:20:00","02:03:00","01:18:00","02:01:00","M03","J105","Grinding","1.85","43","13.65","86","Completed","Low Efficiency"
"19/03/2023","01:30:00","03:17:00","01:27:00","03:14:00","M03","J106","Grinding","4.58","107","8.8","80","Completed","Low Efficiency"
"19/03/2023","01:40:00","03:23:00","01:40:00","03:23:00","M04","J107","Grinding","3.86","103","13.37","92","Failed","Low Efficiency"
"19/03/2023","01:50:00","03:08:00","01:51:00","03:09:00","M05","J108","Lathe","3.28","78","14.78","84","Completed","Moderate Efficiency"
"19/03/2023","02:00:00","03:42:00","01:55:00","03:37:00","M05","J109","Lathe","3.19","102","5.14","84","Completed","Low Efficiency"
"19/03/2023","02:10:00","03:57:00","02:08:00","03:55:00","M05","J110","Additive","3.17","107","9.31","89","Completed","Low Efficiency"
"19/03/2023","02:20:00","04:19:00","02:16:00","04:15:00","M01","J111","Drilling","2.87","119","13.26","80","Completed","Low Efficiency"
"19/03/2023","02:30:00","03:44:00","02:35:00","03:49:00","M02","J112","Lathe","3.71","74","7.12","95","Completed","Moderate Efficiency"
"19/03/2023","02:40:00","04:23:00","02:38:00","04:21:00","M01","J113","Drilling","3.77","103","2.25","95","Completed","Low Efficiency"
"19/03/2023","02:50:00","04:46:00","03:13:00","05:09:00","M01","J114","Lathe","1.26","116","4.36","98","Delayed","Low Efficiency"
"19/03/2023","03:00:00","04:54:00","03:00:00","04:54:00","M04","J115","Lathe","1.32","114","9.49","86","Completed","High Efficiency"
"19/03/2023","03:10:00","04:27:00","03:08:00","04:25:00","M04","J116","Milling","2.11","77","5.69","90","Completed","Low Efficiency"
"19/03/2023","03:20:00","04:27:00","03:16:00","04:23:00","M02","J117","Grinding","1.57","67","5.41","81","Completed","Low Efficiency"
"19/03/2023","03:30:00","04:38:00","03:30:00","04:38:00","M02","J118","Lathe","1.14","68","12.12","83","Failed","Low Efficiency"
"19/03/2023","03:40:00","04:38:00","03:41:00","04:39:00","M04","J119","Drilling","1.09","58","6.55","89","Completed","High Efficiency"
"19/03/2023","03:50:00","04:23:00","03:54:00","04:27:00","M04","J120","Lathe","1.22","33","5.5","91","Completed","High Efficiency"
"19/03/2023","04:00:00","04:39:00","03:56:00","04:35:00","M05","J121","Additive","4.13","39","8.06","91","Completed","Low Efficiency"
"19/03/2023","04:10:00","05:52:00","04:07:00","05:49:00","M02","J122","Grinding","3.22","102","7.75","96","Completed","Low Efficiency"
"19/03/2023","04:20:00","05:45:00","04:17:00","05:42:00","M04","J123","Grinding","2.65","85","8.35","80","Completed","Low Efficiency"
"19/03/2023","04:30:00","05:10:00","04:32:00","05:12:00","M01","J124","Grinding","4.75","40","4.42","80","Completed","High Efficiency"
"19/03/2023","04:40:00","05:56:00","04:40:00","05:56:00","M02","J125","Additive","2.43","76","3.58","91","Completed","High Efficiency"
"19/03/2023","04:50:00","06:00:00","04:45:00","05:55:00","M01","J126","Milling","3.12","70","5.07","98","Completed","Low Efficiency"
"19/03/2023","05:00:00","05:27:00","05:21:00","05:48:00","M04","J127","Additive","4.22","27","6.94","87","Delayed","Low Efficiency"
"19/03/2023","05:10:00","05:50:00","05:08:00","05:48:00","M04","J128","Grinding","3.24","40","10.06","91","Completed","Low Efficiency"
"19/03/2023","05:20:00","06:05:00","05:24:00","06:09:00","M05","J129","Grinding","2.07","45","7.75","84","Completed","Moderate Efficiency"
"19/03/2023","05:30:00","06:48:00","05:31:00","06:49:00","M02","J130","Milling","1.1","78","2.49","96","Completed","Optimal Efficiency"
"19/03/2023","05:40:00","06:58:00","05:38:00","06:56:00","M04","J131","Drilling","3.55","78","4.87","97","Completed","Low Efficiency"
"19/03/2023","05:50:00","07:00:00","06:04:00","07:14:00","M01","J132","Additive","4.64","70","10.68","82","Delayed","Low Efficiency"
"19/03/2023","06:00:00","07:25:00","06:04:00","07:29:00","M01","J133","Drilling","4.42","85","6.51","92","Completed","High Efficiency"
"19/03/2023","06:10:00","07:21:00","06:10:00","07:21:00","M03","J134","Lathe","2.8","71","13.03","89","Failed","Low Efficiency"
"19/03/2023","06:20:00","06:43:00","06:21:00","06:44:00","M01","J135","Drilling","4.64","23","8.31","86","Completed","High Efficiency"
"19/03/2023","06:30:00","07:48:00","06:29:00","07:47:00","M04","J136","Drilling","4.7","78","2.59","95","Completed","Low Efficiency"
"19/03/2023","06:40:00","08:11:00","06:45:00","08:16:00","M01","J137","Lathe","2.86","91","11.79","89","Completed","Moderate Efficiency"
"19/03/2023","06:50:00","07:55:00","07:20:00","08:25:00","M03","J138","Grinding","4.14","65","11.48","81","Delayed","Low Efficiency"
"19/03/2023","07:00:00","07:45:00","07:02:00","07:47:00","M03","J139","Additive","4.04","45","4.48","92","Completed","High Efficiency"
"19/03/2023","07:10:00","08:50:00","07:13:00","08:53:00","M05","J140","Drilling","2.58","100","8.54","85","Completed","Moderate Efficiency"
"19/03/2023","07:20:00","09:00:00","07:16:00","08:56:00","M03","J141","Drilling","2.45","100","6","91","Completed","Low Efficiency"
"19/03/2023","07:30:00","09:20:00","07:28:00","09:18:00","M03","J142","Lathe","2.69","110","3.75","93","Completed","Low Efficiency"
"19/03/2023","07:40:00","08:13:00","08:06:00","08:39:00","M03","J143","Additive","4.02","33","4.28","87","Delayed","Low Efficiency"
"19/03/2023","07:50:00","08:37:00","07:45:00","08:32:00","M03","J144","Milling","2.1","47","6.24","87","Completed","Low Efficiency"
"19/03/2023","08:00:00","08:22:00","08:05:00","08:27:00","M05","J145","Lathe","4.02","22","7.26","97","Completed","Moderate Efficiency"
"19/03/2023","08:10:00","09:12:00","08:10:00","09:12:00","M01","J146","Grinding","2.02","62","2.21","97","Failed","Low Efficiency"
"19/03/2023","08:20:00","08:49:00","08:49:00","09:18:00","M03","J147","Lathe","3.73","29","11.1","88","Delayed","Low Efficiency"
"19/03/2023","08:30:00","09:09:00","08:30:00","09:09:00","M01","J148","Lathe","3.74","39","9.65","87","Completed","High Efficiency"
"19/03/2023","08:40:00","10:20:00","08:40:00","10:20:00","M05","J149","Lathe","4.46","100","11.84","95","Failed","Low Efficiency"
"19/03/2023","08:50:00","09:43:00","09:06:00","09:59:00","M03","J150","Grinding","4.97","53","12.4","86","Delayed","Low Efficiency"
"19/03/2023","09:00:00","09:20:00","09:00:00","09:20:00","M02","J151","Additive","4.41","20","13.63","85","Failed","Low Efficiency"
"19/03/2023","09:10:00","10:56:00","09:14:00","11:00:00","M05","J152","Milling","1.82","106","9.32","96","Completed","Moderate Efficiency"
"19/03/2023","09:20:00","10:26:00","09:20:00","10:26:00","M05","J153","Lathe","1.73","66","5.45","90","Completed","High Efficiency"
"19/03/2023","09:30:00","11:21:00","09:29:00","11:20:00","M02","J154","Grinding","2.11","111","7.67","80","Completed","Low Efficiency"
"19/03/2023","09:40:00","10:20:00","09:41:00","10:21:00","M03","J155","Drilling","3.57","40","9.87","82","Completed","Moderate Efficiency"
"19/03/2023","09:50:00","10:59:00","09:50:00","10:59:00","M04","J156","Milling","4.14","69","14.55","94","Failed","Low Efficiency"
"19/03/2023","10:00:00","10:59:00","10:05:00","11:04:00","M03","J157","Grinding","1.01","59","8.16","91","Completed","Moderate Efficiency"
"19/03/2023","10:10:00","12:03:00","10:10:00","12:03:00","M05","J158","Drilling","3.55","113","7.69","80","Completed","High Efficiency"
"19/03/2023","10:20:00","11:06:00","10:22:00","11:08:00","M02","J159","Milling","1.15","46","3.01","89","Completed","High Efficiency"
"19/03/2023","10:30:00","12:28:00","10:34:00","12:32:00","M01","J160","Milling","4.25","118","9.57","87","Completed","Moderate Efficiency"
"19/03/2023","10:40:00","11:34:00","10:40:00","11:34:00","M04","J161","Milling","3.8","54","10.3","89","Completed","Moderate Efficiency"
"19/03/2023","10:50:00","11:48:00","10:50:00","11:48:00","M01","J162","Additive","2.25","58","11.7","92","Completed","Moderate Efficiency"
"19/03/2023","11:00:00","11:43:00","10:59:00","11:42:00","M01","J163","Milling","4.4","43","10.4","80","Completed","Low Efficiency"
"19/03/2023","11:10:00","12:06:00","11:20:00","12:16:00","M05","J164","Additive","4.35","56","4.22","97","Delayed","Low Efficiency"
"19/03/2023","11:20:00","11:49:00","11:24:00","11:53:00","M04","J165","Milling","3.28","29","7.32","82","Completed","High Efficiency"
"19/03/2023","11:30:00","12:31:00","11:30:00","12:31:00","M04","J166","Additive","3.71","61","11.52","94","Failed","Low Efficiency"
"19/03/2023","11:40:00","12:15:00","11:45:00","12:20:00","M01","J167","Grinding","1.29","35","7.2","94","Completed","Moderate Efficiency"
"19/03/2023","11:50:00","12:27:00","12:14:00","12:51:00","M03","J168","Grinding","4.51","37","12.54","99","Delayed","Low Efficiency"
"19/03/2023","12:00:00","12:23:00","12:00:00","12:23:00","M03","J169","Lathe","1.36","23","7.11","92","Completed","High Efficiency"
"19/03/2023","12:10:00","13:52:00","12:07:00","13:49:00","M03","J170","Milling","3.54","102","2.14","99","Completed","Low Efficiency"
"19/03/2023","12:20:00","13:32:00","12:16:00","13:28:00","M05","J171","Drilling","2.58","72","13.69","83","Completed","Low Efficiency"
"19/03/2023","12:30:00","13:51:00","12:30:00","13:51:00","M02","J172","Lathe","3.08","81","11.61","80","Failed","Low Efficiency"
"19/03/2023","12:40:00","13:44:00","12:43:00","13:47:00","M02","J173","Additive","1.85","64","12.14","82","Completed","Moderate Efficiency"
"19/03/2023","12:50:00","14:43:00","13:18:00","15:11:00","M01","J174","Additive","2.44","113","12.49","80","Delayed","Low Efficiency"
"19/03/2023","13:00:00","13:40:00","13:00:00","13:40:00","M04","J175","Lathe","4.82","40","8.16","92","Failed","Low Efficiency"
"19/03/2023","13:10:00","14:50:00","13:12:00","14:52:00","M05","J176","Milling","2.39","100","2.62","95","Completed","High Efficiency"
"19/03/2023","13:20:00","14:57:00","13:22:00","14:59:00","M02","J177","Drilling","3.51","97","9.08","97","Completed","Moderate Efficiency"
"19/03/2023","13:30:00","14:52:00","13:25:00","14:47:00","M01","J178","Drilling","4.43","82","10.58","82","Completed","Low Efficiency"
"19/03/2023","13:40:00","15:15:00","13:58:00","15:33:00","M03","J179","Lathe","1.58","95","14.17","80","Delayed","Low Efficiency"
"19/03/2023","13:50:00","14:59:00","13:48:00","14:57:00","M02","J180","Additive","3.46","69","3.76","84","Completed","Low Efficiency"
"19/03/2023","14:00:00","15:35:00","13:59:00","15:34:00","M02","J181","Drilling","3.55","95","6.4","89","Completed","Low Efficiency"
"19/03/2023","14:10:00","15:29:00","14:10:00","15:29:00","M01","J182","Milling","1.49","79","6.22","83","Failed","Low Efficiency"
"19/03/2023","14:20:00","16:06:00","14:17:00","16:03:00","M04","J183","Drilling","4.11","106","12.25","80","Completed","Low Efficiency"
"19/03/2023","14:30:00","15:59:00","14:35:00","16:04:00","M04","J184","Additive","3.52","89","9.7","99","Completed","Moderate Efficiency"
"19/03/2023","14:40:00","15:30:00","14:41:00","15:31:00","M04","J185","Grinding","2","50","6.07","85","Completed","High Efficiency"
"19/03/2023","14:50:00","16:00:00","14:46:00","15:56:00","M01","J186","Milling","1.25","70","12.13","82","Completed","Low Efficiency"
"19/03/2023","15:00:00","16:50:00","15:00:00","16:50:00","M04","J187","Additive","1.27","110","10.29","80","Failed","Low Efficiency"
"19/03/2023","15:10:00","16:40:00","15:09:00","16:39:00","M02","J188","Grinding","2.61","90","9.18","83","Completed","Low Efficiency"
"19/03/2023","15:20:00","16:10:00","15:23:00","16:13:00","M03","J189","Drilling","3.38","50","11.6","86","Completed","Moderate Efficiency"
"19/03/2023","15:30:00","16:20:00","15:56:00","16:46:00","M04","J190","Milling","1.94","50","10.25","97","Delayed","Low Efficiency"
"19/03/2023","15:40:00","17:34:00","15:45:00","17:39:00","M01","J191","Milling","4.16","114","5.81","89","Completed","High Efficiency"
"19/03/2023","15:50:00","17:30:00","15:47:00","17:27:00","M03","J192","Drilling","1.04","100","6.93","82","Completed","Low Efficiency"
"19/03/2023","16:00:00","17:20:00","16:00:00","17:20:00","M04","J193","Drilling","4.82","80","14.08","80","Completed","Moderate Efficiency"
"19/03/2023","16:10:00","17:07:00","16:15:00","17:12:00","M03","J194","Lathe","4.81","57","8.84","94","Completed","Moderate Efficiency"
"19/03/2023","16:20:00","17:48:00","16:25:00","17:53:00","M02","J195","Drilling","2.53","88","7.32","87","Completed","Moderate Efficiency"
"19/03/2023","16:30:00","17:26:00","16:27:00","17:23:00","M02","J196","Drilling","1.48","56","8.84","93","Completed","Low Efficiency"
"19/03/2023","16:40:00","17:01:00","16:52:00","17:13:00","M05","J197","Drilling","1.01","21","9.75","88","Delayed","Low Efficiency"
"19/03/2023","16:50:00","18:04:00","16:51:00","18:05:00","M04","J198","Milling","2.33","74","2.46","92","Completed","Optimal Efficiency"
"19/03/2023","17:00:00","18:30:00","17:00:00","18:30:00","M04","J199","Lathe","4.52","90","7.61","94","Completed","High Efficiency"
"19/03/2023","17:10:00","18:34:00","17:08:00","18:32:00","M02","J200","Lathe","2.04","84","7.96","94","Completed","Low Efficiency"
"19/03/2023","17:20:00","18:12:00","17:20:00","18:12:00","M04","J201","Additive","2.14","52","9.24","95","Failed","Low Efficiency"
"19/03/2023","17:30:00","18:52:00","17:30:00","18:52:00","M02","J202","Drilling","4.62","82","10.12","90","Failed","Low Efficiency"
