Job_ID,Machine_ID,Operation_Type,Material_Used,Processing_Time,Energy_Consumption,Machine_Availability,Scheduled_Start,Scheduled_End,Actual_Start,Actual_End,Job_Status,Optimization_Category
J013,M03,Lathe,3.1,43,5.55,95,18/03/2023 10:00,18/03/2023 10:43,18/03/2023 10:05,18/03/2023 10:48,Completed,High Efficiency
J014,M04,Additive,2.33,112,2.01,95,18/03/2023 10:10,18/03/2023 12:02,18/03/2023 10:10,18/03/2023 12:02,Completed,Optimal Efficiency
J015,M05,Additive,3.92,104,3.67,98,18/03/2023 10:20,18/03/2023 12:04,18/03/2023 10:24,18/03/2023 12:08,Completed,High Efficiency
J016,M01,Additive,2.09,65,12.29,96,18/03/2023 10:30,18/03/2023 11:35,18/03/2023 10:28,18/03/2023 11:33,Completed,Low Efficiency
J017,M03,Lathe,4.3,115,9.44,80,18/03/2023 10:40,18/03/2023 12:35,18/03/2023 10:37,18/03/2023 12:32,Completed,Low Efficiency
J018,M05,Lathe,2.25,55,10.95,94,18/03/2023 10:50,18/03/2023 11:45,18/03/2023 10:48,18/03/2023 11:43,Completed,Low Efficiency
J019,M02,Milling,4.62,52,3.27,82,18/03/2023 11:00,18/03/2023 11:52,18/03/2023 10:58,18/03/2023 11:50,Completed,Low Efficiency
J020,M05,Lathe,1.39,42,14.19,91,18/03/2023 11:10,18/03/2023 11:52,18/03/2023 11:15,18/03/2023 11:57,Completed,Moderate Efficiency
J021,M02,Milling,3.95,107,13.73,83,18/03/2023 11:20,18/03/2023 13:07,18/03/2023 11:15,18/03/2023 13:02,Completed,Low Efficiency
J022,M03,Additive,3.3,64,4.14,93,18/03/2023 11:30,18/03/2023 12:34,18/03/2023 11:44,18/03/2023 12:48,Delayed,Low Efficiency
J023,M01,Drilling,4.86,98,13.49,89,18/03/2023 11:40,18/03/2023 13:18,18/03/2023 11:35,18/03/2023 13:13,Completed,Low Efficiency
J024,M02,Grinding,1.84,84,8.81,98,18/03/2023 11:50,18/03/2023 13:14,18/03/2023 12:13,18/03/2023 13:37,Delayed,Low Efficiency
J025,M04,Lathe,1.84,119,5.1,82,18/03/2023 12:00,18/03/2023 13:59,,,Failed,Low Efficiency
J026,M01,Additive,1.14,21,3.89,97,18/03/2023 12:10,18/03/2023 12:31,18/03/2023 12:10,18/03/2023 12:31,Completed,High Efficiency
J027,M03,Lathe,4.03,87,11.34,80,18/03/2023 12:20,18/03/2023 13:47,,,Failed,Low Efficiency
J028,M03,Milling,3.21,93,4.16,98,18/03/2023 12:30,18/03/2023 14:03,18/03/2023 12:28,18/03/2023 14:01,Completed,Low Efficiency
J029,M02,Milling,3.47,116,5.39,91,18/03/2023 12:40,18/03/2023 14:36,18/03/2023 12:39,18/03/2023 14:35,Completed,Low Efficiency
J030,M05,Grinding,4.62,66,10.36,89,18/03/2023 12:50,18/03/2023 13:56,18/03/2023 12:51,18/03/2023 13:57,Completed,Moderate Efficiency
J031,M03,Grinding,1.7,37,3.21,96,18/03/2023 13:00,18/03/2023 13:37,18/03/2023 13:02,18/03/2023 13:39,Completed,High Efficiency
J032,M03,Drilling,3.02,78,4.93,80,18/03/2023 13:10,18/03/2023 14:28,18/03/2023 13:13,18/03/2023 14:31,Completed,High Efficiency
J033,M04,Lathe,3.7,103,8.02,80,18/03/2023 13:20,18/03/2023 15:03,18/03/2023 13:33,18/03/2023 15:16,Delayed,Low Efficiency
J034,M01,Grinding,1.47,110,12.52,86,18/03/2023 13:30,18/03/2023 15:20,18/03/2023 13:54,18/03/2023 15:44,Delayed,Low Efficiency
J035,M02,Drilling,2.05,47,12.12,82,18/03/2023 13:40,18/03/2023 14:27,18/03/2023 13:41,18/03/2023 14:28,Completed,Moderate Efficiency
J036,M04,Additive,1.76,99,4.72,96,18/03/2023 13:50,18/03/2023 15:29,18/03/2023 13:47,18/03/2023 15:26,Completed,Low Efficiency
J037,M01,Milling,4.6,79,13.17,88,18/03/2023 14:00,18/03/2023 15:19,18/03/2023 14:02,18/03/2023 15:21,Completed,Moderate Efficiency
J038,M01,Grinding,4.77,43,4.98,94,18/03/2023 14:10,18/03/2023 14:53,18/03/2023 14:10,18/03/2023 14:53,Completed,High Efficiency
J039,M02,Drilling,4.06,48,10.65,86,18/03/2023 14:20,18/03/2023 15:08,,,Failed,Low Efficiency
J040,M01,Lathe,2.29,50,9.94,97,18/03/2023 14:30,18/03/2023 15:20,18/03/2023 14:29,18/03/2023 15:19,Completed,Low Efficiency
J041,M04,Milling,1.15,88,11.64,82,18/03/2023 14:40,18/03/2023 16:08,18/03/2023 14:43,18/03/2023 16:11,Completed,Moderate Efficiency
J042,M04,Additive,1.55,48,13.57,95,18/03/2023 14:50,18/03/2023 15:38,18/03/2023 14:47,18/03/2023 15:35,Completed,Low Efficiency
J043,M03,Additive,4.84,75,4.53,87,18/03/2023 15:00,18/03/2023 16:15,18/03/2023 15:01,18/03/2023 16:16,Completed,High Efficiency
J044,M02,Lathe,1.82,109,5.67,93,18/03/2023 15:10,18/03/2023 16:59,18/03/2023 15:05,18/03/2023 16:54,Completed,Low Efficiency
J045,M02,Milling,3.52,78,3.03,91,18/03/2023 15:20,18/03/2023 16:38,18/03/2023 15:25,18/03/2023 16:43,Completed,High Efficiency
J046,M03,Milling,4.52,30,7.15,85,18/03/2023 15:30,18/03/2023 16:00,18/03/2023 15:54,18/03/2023 16:24,Delayed,Low Efficiency
J047,M02,Drilling,1.9,25,10.09,85,18/03/2023 15:40,18/03/2023 16:05,18/03/2023 15:44,18/03/2023 16:09,Completed,Moderate Efficiency
J048,M02,Lathe,3.67,75,4.12,99,18/03/2023 15:50,18/03/2023 17:05,18/03/2023 15:47,18/03/2023 17:02,Completed,Low Efficiency
J049,M02,Lathe,4.43,33,7.55,80,18/03/2023 16:00,18/03/2023 16:33,18/03/2023 16:04,18/03/2023 16:37,Completed,Moderate Efficiency
J050,M01,Lathe,1.42,104,3.09,87,18/03/2023 16:10,18/03/2023 17:54,18/03/2023 16:29,18/03/2023 18:13,Delayed,Low Efficiency
J051,M04,Lathe,4.25,24,7.26,90,18/03/2023 16:20,18/03/2023 16:44,,,Failed,Low Efficiency
J052,M05,Grinding,3.91,23,9.2,82,18/03/2023 16:30,18/03/2023 16:53,18/03/2023 16:27,18/03/2023 16:50,Completed,Low Efficiency
J053,M02,Lathe,1.85,97,4.77,98,18/03/2023 16:40,18/03/2023 18:17,18/03/2023 16:37,18/03/2023 18:14,Completed,Low Efficiency
J054,M05,Drilling,2.79,64,6.66,82,18/03/2023 16:50,18/03/2023 17:54,18/03/2023 17:10,18/03/2023 18:14,Delayed,Low Efficiency
J055,M05,Drilling,4.61,116,13.1,99,18/03/2023 17:00,18/03/2023 18:56,18/03/2023 16:55,18/03/2023 18:51,Completed,Low Efficiency
J056,M01,Drilling,4.2,104,11.91,80,18/03/2023 17:10,18/03/2023 18:54,18/03/2023 17:07,18/03/2023 18:51,Completed,Low Efficiency
J057,M02,Additive,1.04,31,6.53,86,18/03/2023 17:20,18/03/2023 17:51,18/03/2023 17:19,18/03/2023 17:50,Completed,Low Efficiency
J058,M01,Grinding,1.03,83,8.42,81,18/03/2023 17:30,18/03/2023 18:53,18/03/2023 17:31,18/03/2023 18:54,Completed,High Efficiency
J059,M05,Additive,3.62,62,6.06,88,18/03/2023 17:40,18/03/2023 18:42,18/03/2023 17:51,18/03/2023 18:53,Delayed,Low Efficiency
J060,M01,Milling,3.29,66,8.69,80,18/03/2023 17:50,18/03/2023 18:56,18/03/2023 17:52,18/03/2023 18:58,Completed,Moderate Efficiency
J061,M02,Lathe,3.03,110,6.98,82,18/03/2023 18:00,18/03/2023 19:50,,,Failed,Low Efficiency
J062,M02,Lathe,2.47,98,9.93,82,18/03/2023 18:10,18/03/2023 19:48,18/03/2023 18:39,18/03/2023 20:17,Delayed,Low Efficiency
J063,M02,Lathe,3.2,47,8.4,86,18/03/2023 18:20,18/03/2023 19:07,,,Failed,Low Efficiency
J064,M02,Lathe,4.81,71,7.42,83,18/03/2023 18:30,18/03/2023 19:41,18/03/2023 18:30,18/03/2023 19:41,Completed,High Efficiency
J065,M03,Grinding,2.71,23,6.8,90,18/03/2023 18:40,18/03/2023 19:03,,,Failed,Low Efficiency
J066,M03,Drilling,3.47,52,2.09,97,18/03/2023 18:50,18/03/2023 19:42,18/03/2023 19:03,18/03/2023 19:55,Delayed,Low Efficiency
J067,M02,Lathe,3.28,23,3.79,84,18/03/2023 19:00,18/03/2023 19:23,18/03/2023 19:12,18/03/2023 19:35,Delayed,Low Efficiency
J068,M02,Lathe,3.48,116,9.64,82,18/03/2023 19:10,18/03/2023 21:06,18/03/2023 19:09,18/03/2023 21:05,Completed,Low Efficiency
J069,M04,Additive,2.61,29,9.58,80,18/03/2023 19:20,18/03/2023 19:49,18/03/2023 19:21,18/03/2023 19:50,Completed,Moderate Efficiency
J070,M04,Drilling,3.37,54,2.46,82,18/03/2023 19:30,18/03/2023 20:24,,,Failed,Low Efficiency
J071,M04,Milling,2.62,25,7.29,95,18/03/2023 19:40,18/03/2023 20:05,18/03/2023 19:38,18/03/2023 20:03,Completed,Low Efficiency
J072,M05,Grinding,3.52,68,6.05,99,18/03/2023 19:50,18/03/2023 20:58,18/03/2023 19:51,18/03/2023 20:59,Completed,High Efficiency
J073,M04,Drilling,4.17,112,11.57,89,18/03/2023 20:00,18/03/2023 21:52,18/03/2023 20:02,18/03/2023 21:54,Completed,Moderate Efficiency
J074,M04,Milling,3.72,65,12.97,86,18/03/2023 20:10,18/03/2023 21:15,18/03/2023 20:13,18/03/2023 21:18,Completed,Moderate Efficiency
J075,M05,Additive,3.55,85,7.52,84,18/03/2023 20:20,18/03/2023 21:45,18/03/2023 20:22,18/03/2023 21:47,Completed,High Efficiency
J076,M01,Milling,1.99,99,10.01,90,18/03/2023 20:30,18/03/2023 22:09,,,Failed,Low Efficiency
J077,M01,Milling,3.46,62,7.46,84,18/03/2023 20:40,18/03/2023 21:42,18/03/2023 20:40,18/03/2023 21:42,Completed,High Efficiency
J078,M02,Milling,2.08,107,2.2,89,18/03/2023 20:50,18/03/2023 22:37,18/03/2023 21:02,18/03/2023 22:49,Delayed,Low Efficiency
J079,M05,Milling,4.55,84,7.43,97,18/03/2023 21:00,18/03/2023 22:24,18/03/2023 21:21,18/03/2023 22:45,Delayed,Low Efficiency
J080,M04,Grinding,2.11,82,14.62,89,18/03/2023 21:10,18/03/2023 22:32,18/03/2023 21:08,18/03/2023 22:30,Completed,Low Efficiency
J081,M02,Additive,4.01,69,11.72,88,18/03/2023 21:20,18/03/2023 22:29,18/03/2023 21:17,18/03/2023 22:26,Completed,Low Efficiency
J082,M01,Drilling,1.73,24,13.39,98,18/03/2023 21:30,18/03/2023 21:54,18/03/2023 21:26,18/03/2023 21:50,Completed,Low Efficiency
J083,M03,Drilling,4.15,59,12.15,85,18/03/2023 21:40,18/03/2023 22:39,18/03/2023 21:41,18/03/2023 22:40,Completed,Moderate Efficiency
J084,M05,Drilling,1.19,77,11.36,95,18/03/2023 21:50,18/03/2023 23:07,18/03/2023 22:06,18/03/2023 23:23,Delayed,Low Efficiency
J085,M02,Lathe,3.38,44,3.35,87,18/03/2023 22:00,18/03/2023 22:44,18/03/2023 22:00,18/03/2023 22:44,Completed,High Efficiency
J086,M05,Drilling,2.77,77,14.07,93,18/03/2023 22:10,18/03/2023 23:27,18/03/2023 22:12,18/03/2023 23:29,Completed,Moderate Efficiency
J087,M03,Lathe,2.33,59,14.83,98,18/03/2023 22:20,18/03/2023 23:19,18/03/2023 22:32,18/03/2023 23:31,Delayed,Low Efficiency
J088,M04,Additive,1.36,60,9.56,94,18/03/2023 22:30,18/03/2023 23:30,18/03/2023 22:26,18/03/2023 23:26,Completed,Low Efficiency
J089,M04,Grinding,4.66,55,14.16,81,18/03/2023 22:40,18/03/2023 23:35,18/03/2023 22:35,18/03/2023 23:30,Completed,Low Efficiency
J090,M02,Lathe,2.38,27,12.34,99,18/03/2023 22:50,18/03/2023 23:17,18/03/2023 23:05,18/03/2023 23:32,Delayed,Low Efficiency
J091,M02,Grinding,4.86,60,14.6,83,18/03/2023 23:00,19/03/2023 00:00,18/03/2023 22:59,18/03/2023 23:59,Completed,Low Efficiency
J092,M03,Milling,4.85,90,8.14,96,18/03/2023 23:10,19/03/2023 00:40,,,Failed,Low Efficiency
J093,M03,Lathe,1.63,86,9.92,98,18/03/2023 23:20,19/03/2023 00:46,18/03/2023 23:32,19/03/2023 00:58,Delayed,Low Efficiency
J094,M05,Lathe,4.43,51,7.61,86,18/03/2023 23:30,19/03/2023 00:21,18/03/2023 23:48,19/03/2023 00:39,Delayed,Low Efficiency
J095,M03,Lathe,3.43,113,9.22,89,18/03/2023 23:40,19/03/2023 01:33,18/03/2023 23:38,19/03/2023 01:31,Completed,Low Efficiency
J096,M05,Milling,4.18,110,10.67,99,18/03/2023 23:50,19/03/2023 01:40,19/03/2023 00:20,19/03/2023 02:10,Delayed,Low Efficiency
J097,M04,Drilling,3.88,57,3.8,87,19/03/2023 00:00,19/03/2023 00:57,19/03/2023 00:23,19/03/2023 01:20,Delayed,Low Efficiency
J098,M03,Grinding,3.87,91,14.55,92,19/03/2023 00:10,19/03/2023 01:41,19/03/2023 00:11,19/03/2023 01:42,Completed,Moderate Efficiency
J099,M05,Additive,1.79,33,3.17,80,19/03/2023 00:20,19/03/2023 00:53,,,Failed,Low Efficiency
J100,M02,Grinding,2.71,27,12.24,96,19/03/2023 00:30,19/03/2023 00:57,19/03/2023 00:35,19/03/2023 01:02,Completed,Moderate Efficiency
J101,M05,Additive,4.8,37,4.73,92,19/03/2023 00:40,19/03/2023 01:17,19/03/2023 00:37,19/03/2023 01:14,Completed,Low Efficiency
J102,M04,Grinding,4.96,110,14.56,88,19/03/2023 00:50,19/03/2023 02:40,19/03/2023 00:49,19/03/2023 02:39,Completed,Low Efficiency
J103,M05,Lathe,2.54,105,9.97,96,19/03/2023 01:00,19/03/2023 02:45,19/03/2023 01:14,19/03/2023 02:59,Delayed,Low Efficiency
J104,M05,Milling,3.6,62,8.45,87,19/03/2023 01:10,19/03/2023 02:12,19/03/2023 01:05,19/03/2023 02:07,Completed,Low Efficiency
J105,M03,Grinding,1.85,43,13.65,86,19/03/2023 01:20,19/03/2023 02:03,19/03/2023 01:18,19/03/2023 02:01,Completed,Low Efficiency
J106,M03,Grinding,4.58,107,8.8,80,19/03/2023 01:30,19/03/2023 03:17,19/03/2023 01:27,19/03/2023 03:14,Completed,Low Efficiency
J107,M04,Grinding,3.86,103,13.37,92,19/03/2023 01:40,19/03/2023 03:23,,,Failed,Low Efficiency
J108,M05,Lathe,3.28,78,14.78,84,19/03/2023 01:50,19/03/2023 03:08,19/03/2023 01:51,19/03/2023 03:09,Completed,Moderate Efficiency
J109,M05,Lathe,3.19,102,5.14,84,19/03/2023 02:00,19/03/2023 03:42,19/03/2023 01:55,19/03/2023 03:37,Completed,Low Efficiency
J110,M05,Additive,3.17,107,9.31,89,19/03/2023 02:10,19/03/2023 03:57,19/03/2023 02:08,19/03/2023 03:55,Completed,Low Efficiency
J111,M01,Drilling,2.87,119,13.26,80,19/03/2023 02:20,19/03/2023 04:19,19/03/2023 02:16,19/03/2023 04:15,Completed,Low Efficiency
J112,M02,Lathe,3.71,74,7.12,95,19/03/2023 02:30,19/03/2023 03:44,19/03/2023 02:35,19/03/2023 03:49,Completed,Moderate Efficiency
J113,M01,Drilling,3.77,103,2.25,95,19/03/2023 02:40,19/03/2023 04:23,19/03/2023 02:38,19/03/2023 04:21,Completed,Low Efficiency
J114,M01,Lathe,1.26,116,4.36,98,19/03/2023 02:50,19/03/2023 04:46,19/03/2023 03:13,19/03/2023 05:09,Delayed,Low Efficiency
J115,M04,Lathe,1.32,114,9.49,86,19/03/2023 03:00,19/03/2023 04:54,19/03/2023 03:00,19/03/2023 04:54,Completed,High Efficiency
J116,M04,Milling,2.11,77,5.69,90,19/03/2023 03:10,19/03/2023 04:27,19/03/2023 03:08,19/03/2023 04:25,Completed,Low Efficiency
J117,M02,Grinding,1.57,67,5.41,81,19/03/2023 03:20,19/03/2023 04:27,19/03/2023 03:16,19/03/2023 04:23,Completed,Low Efficiency
J118,M02,Lathe,1.14,68,12.12,83,19/03/2023 03:30,19/03/2023 04:38,,,Failed,Low Efficiency
J119,M04,Drilling,1.09,58,6.55,89,19/03/2023 03:40,19/03/2023 04:38,19/03/2023 03:41,19/03/2023 04:39,Completed,High Efficiency
J120,M04,Lathe,1.22,33,5.5,91,19/03/2023 03:50,19/03/2023 04:23,19/03/2023 03:54,19/03/2023 04:27,Completed,High Efficiency
J121,M05,Additive,4.13,39,8.06,91,19/03/2023 04:00,19/03/2023 04:39,19/03/2023 03:56,19/03/2023 04:35,Completed,Low Efficiency
J122,M02,Grinding,3.22,102,7.75,96,19/03/2023 04:10,19/03/2023 05:52,19/03/2023 04:07,19/03/2023 05:49,Completed,Low Efficiency
J123,M04,Grinding,2.65,85,8.35,80,19/03/2023 04:20,19/03/2023 05:45,19/03/2023 04:17,19/03/2023 05:42,Completed,Low Efficiency
J124,M01,Grinding,4.75,40,4.42,80,19/03/2023 04:30,19/03/2023 05:10,19/03/2023 04:32,19/03/2023 05:12,Completed,High Efficiency
J125,M02,Additive,2.43,76,3.58,91,19/03/2023 04:40,19/03/2023 05:56,19/03/2023 04:40,19/03/2023 05:56,Completed,High Efficiency
J126,M01,Milling,3.12,70,5.07,98,19/03/2023 04:50,19/03/2023 06:00,19/03/2023 04:45,19/03/2023 05:55,Completed,Low Efficiency
J127,M04,Additive,4.22,27,6.94,87,19/03/2023 05:00,19/03/2023 05:27,19/03/2023 05:21,19/03/2023 05:48,Delayed,Low Efficiency
J128,M04,Grinding,3.24,40,10.06,91,19/03/2023 05:10,19/03/2023 05:50,19/03/2023 05:08,19/03/2023 05:48,Completed,Low Efficiency
J129,M05,Grinding,2.07,45,7.75,84,19/03/2023 05:20,19/03/2023 06:05,19/03/2023 05:24,19/03/2023 06:09,Completed,Moderate Efficiency
J130,M02,Milling,1.1,78,2.49,96,19/03/2023 05:30,19/03/2023 06:48,19/03/2023 05:31,19/03/2023 06:49,Completed,Optimal Efficiency
J131,M04,Drilling,3.55,78,4.87,97,19/03/2023 05:40,19/03/2023 06:58,19/03/2023 05:38,19/03/2023 06:56,Completed,Low Efficiency
J132,M01,Additive,4.64,70,10.68,82,19/03/2023 05:50,19/03/2023 07:00,19/03/2023 06:04,19/03/2023 07:14,Delayed,Low Efficiency
J133,M01,Drilling,4.42,85,6.51,92,19/03/2023 06:00,19/03/2023 07:25,19/03/2023 06:04,19/03/2023 07:29,Completed,High Efficiency
J134,M03,Lathe,2.8,71,13.03,89,19/03/2023 06:10,19/03/2023 07:21,,,Failed,Low Efficiency
J135,M01,Drilling,4.64,23,8.31,86,19/03/2023 06:20,19/03/2023 06:43,19/03/2023 06:21,19/03/2023 06:44,Completed,High Efficiency
J136,M04,Drilling,4.7,78,2.59,95,19/03/2023 06:30,19/03/2023 07:48,19/03/2023 06:29,19/03/2023 07:47,Completed,Low Efficiency
J137,M01,Lathe,2.86,91,11.79,89,19/03/2023 06:40,19/03/2023 08:11,19/03/2023 06:45,19/03/2023 08:16,Completed,Moderate Efficiency
J138,M03,Grinding,4.14,65,11.48,81,19/03/2023 06:50,19/03/2023 07:55,19/03/2023 07:20,19/03/2023 08:25,Delayed,Low Efficiency
J139,M03,Additive,4.04,45,4.48,92,19/03/2023 07:00,19/03/2023 07:45,19/03/2023 07:02,19/03/2023 07:47,Completed,High Efficiency
J140,M05,Drilling,2.58,100,8.54,85,19/03/2023 07:10,19/03/2023 08:50,19/03/2023 07:13,19/03/2023 08:53,Completed,Moderate Efficiency
J141,M03,Drilling,2.45,100,6,91,19/03/2023 07:20,19/03/2023 09:00,19/03/2023 07:16,19/03/2023 08:56,Completed,Low Efficiency
J142,M03,Lathe,2.69,110,3.75,93,19/03/2023 07:30,19/03/2023 09:20,19/03/2023 07:28,19/03/2023 09:18,Completed,Low Efficiency
J143,M03,Additive,4.02,33,4.28,87,19/03/2023 07:40,19/03/2023 08:13,19/03/2023 08:06,19/03/2023 08:39,Delayed,Low Efficiency
J144,M03,Milling,2.1,47,6.24,87,19/03/2023 07:50,19/03/2023 08:37,19/03/2023 07:45,19/03/2023 08:32,Completed,Low Efficiency
J145,M05,Lathe,4.02,22,7.26,97,19/03/2023 08:00,19/03/2023 08:22,19/03/2023 08:05,19/03/2023 08:27,Completed,Moderate Efficiency
J146,M01,Grinding,2.02,62,2.21,97,19/03/2023 08:10,19/03/2023 09:12,,,Failed,Low Efficiency
J147,M03,Lathe,3.73,29,11.1,88,19/03/2023 08:20,19/03/2023 08:49,19/03/2023 08:49,19/03/2023 09:18,Delayed,Low Efficiency
J148,M01,Lathe,3.74,39,9.65,87,19/03/2023 08:30,19/03/2023 09:09,19/03/2023 08:30,19/03/2023 09:09,Completed,High Efficiency
J149,M05,Lathe,4.46,100,11.84,95,19/03/2023 08:40,19/03/2023 10:20,,,Failed,Low Efficiency
J150,M03,Grinding,4.97,53,12.4,86,19/03/2023 08:50,19/03/2023 09:43,19/03/2023 09:06,19/03/2023 09:59,Delayed,Low Efficiency
J151,M02,Additive,4.41,20,13.63,85,19/03/2023 09:00,19/03/2023 09:20,,,Failed,Low Efficiency
J152,M05,Milling,1.82,106,9.32,96,19/03/2023 09:10,19/03/2023 10:56,19/03/2023 09:14,19/03/2023 11:00,Completed,Moderate Efficiency
J153,M05,Lathe,1.73,66,5.45,90,19/03/2023 09:20,19/03/2023 10:26,19/03/2023 09:20,19/03/2023 10:26,Completed,High Efficiency
J154,M02,Grinding,2.11,111,7.67,80,19/03/2023 09:30,19/03/2023 11:21,19/03/2023 09:29,19/03/2023 11:20,Completed,Low Efficiency
J155,M03,Drilling,3.57,40,9.87,82,19/03/2023 09:40,19/03/2023 10:20,19/03/2023 09:41,19/03/2023 10:21,Completed,Moderate Efficiency
J156,M04,Milling,4.14,69,14.55,94,19/03/2023 09:50,19/03/2023 10:59,,,Failed,Low Efficiency
J157,M03,Grinding,1.01,59,8.16,91,19/03/2023 10:00,19/03/2023 10:59,19/03/2023 10:05,19/03/2023 11:04,Completed,Moderate Efficiency
J158,M05,Drilling,3.55,113,7.69,80,19/03/2023 10:10,19/03/2023 12:03,19/03/2023 10:10,19/03/2023 12:03,Completed,High Efficiency
J159,M02,Milling,1.15,46,3.01,89,19/03/2023 10:20,19/03/2023 11:06,19/03/2023 10:22,19/03/2023 11:08,Completed,High Efficiency
J160,M01,Milling,4.25,118,9.57,87,19/03/2023 10:30,19/03/2023 12:28,19/03/2023 10:34,19/03/2023 12:32,Completed,Moderate Efficiency
J161,M04,Milling,3.8,54,10.3,89,19/03/2023 10:40,19/03/2023 11:34,19/03/2023 10:40,19/03/2023 11:34,Completed,Moderate Efficiency
J162,M01,Additive,2.25,58,11.7,92,19/03/2023 10:50,19/03/2023 11:48,19/03/2023 10:50,19/03/2023 11:48,Completed,Moderate Efficiency
J163,M01,Milling,4.4,43,10.4,80,19/03/2023 11:00,19/03/2023 11:43,19/03/2023 10:59,19/03/2023 11:42,Completed,Low Efficiency
J164,M05,Additive,4.35,56,4.22,97,19/03/2023 11:10,19/03/2023 12:06,19/03/2023 11:20,19/03/2023 12:16,Delayed,Low Efficiency
J165,M04,Milling,3.28,29,7.32,82,19/03/2023 11:20,19/03/2023 11:49,19/03/2023 11:24,19/03/2023 11:53,Completed,High Efficiency
J166,M04,Additive,3.71,61,11.52,94,19/03/2023 11:30,19/03/2023 12:31,,,Failed,Low Efficiency
J167,M01,Grinding,1.29,35,7.2,94,19/03/2023 11:40,19/03/2023 12:15,19/03/2023 11:45,19/03/2023 12:20,Completed,Moderate Efficiency
J168,M03,Grinding,4.51,37,12.54,99,19/03/2023 11:50,19/03/2023 12:27,19/03/2023 12:14,19/03/2023 12:51,Delayed,Low Efficiency
J169,M03,Lathe,1.36,23,7.11,92,19/03/2023 12:00,19/03/2023 12:23,19/03/2023 12:00,19/03/2023 12:23,Completed,High Efficiency
J170,M03,Milling,3.54,102,2.14,99,19/03/2023 12:10,19/03/2023 13:52,19/03/2023 12:07,19/03/2023 13:49,Completed,Low Efficiency
J171,M05,Drilling,2.58,72,13.69,83,19/03/2023 12:20,19/03/2023 13:32,19/03/2023 12:16,19/03/2023 13:28,Completed,Low Efficiency
J172,M02,Lathe,3.08,81,11.61,80,19/03/2023 12:30,19/03/2023 13:51,,,Failed,Low Efficiency
J173,M02,Additive,1.85,64,12.14,82,19/03/2023 12:40,19/03/2023 13:44,19/03/2023 12:43,19/03/2023 13:47,Completed,Moderate Efficiency
J174,M01,Additive,2.44,113,12.49,80,19/03/2023 12:50,19/03/2023 14:43,19/03/2023 13:18,19/03/2023 15:11,Delayed,Low Efficiency
J175,M04,Lathe,4.82,40,8.16,92,19/03/2023 13:00,19/03/2023 13:40,,,Failed,Low Efficiency
J176,M05,Milling,2.39,100,2.62,95,19/03/2023 13:10,19/03/2023 14:50,19/03/2023 13:12,19/03/2023 14:52,Completed,High Efficiency
J177,M02,Drilling,3.51,97,9.08,97,19/03/2023 13:20,19/03/2023 14:57,19/03/2023 13:22,19/03/2023 14:59,Completed,Moderate Efficiency
J178,M01,Drilling,4.43,82,10.58,82,19/03/2023 13:30,19/03/2023 14:52,19/03/2023 13:25,19/03/2023 14:47,Completed,Low Efficiency
J179,M03,Lathe,1.58,95,14.17,80,19/03/2023 13:40,19/03/2023 15:15,19/03/2023 13:58,19/03/2023 15:33,Delayed,Low Efficiency
J180,M02,Additive,3.46,69,3.76,84,19/03/2023 13:50,19/03/2023 14:59,19/03/2023 13:48,19/03/2023 14:57,Completed,Low Efficiency
